PK_LOCALIDADE;region_name;region_code;city;country;state;zip_code
85da4083e55b23d323a56761dc54fe9afbeb9b67b66053c1d46321189e5fbf6c;Canada;0;Anjou;CA;QU;H1V 1R4
3d7e024d7f04f54a37aa12992ceddaf8316181aa9e9e6a99d9a80448442ce2b2;Southern;2;Tupelo;US;MS;38803-2187
6d1bb20fd23760b38be019a2bbbb2a086e4641f6aa812fb063b694bf403f0f89;Southern;2;Houston;US;TX;77081
ad8277e252c389c6a11bb2ccdb139ec4da0ef396e5d9d6db09d85c71726454c0;Central;4;Valparaiso;US;IN;46385
eb0a8a197ec7e6d8c922df6b3d88fc8a52e1e726058c2244b986c0570ce010b4;Western;1;Libby;US;MT;59923
fb77a4ac055049119827278fdac0cc8a194f6d21600d7b20a6f30e4f6b5155a0;Southern;2;Birmingham;US;AL;35210
9ca87a94402d89e08b2eac50fa5e19895f4b45d8a68405ff4cb79dc8ecc70772;Central;4;Ottawa;US;KS;66067-3805
615342021c5ee532698754dc64fca4f9c57aecd96cc92e7361bf03ba0290975b;Southern;2;New Orleans;US;LA;70181
95ee1bb1b6f68be666e11c78f2fb7107f1cf63c99b62d5a923ba69491fdeea67;Central;4;Evansville;US;IN;47716-5364
44c9c96ec86601052762b08bd259d51b1c7e82735de894ab19feea79afe724d8;International;5;Carcas;UK;Não informado;0
247c5ed289531d282735d17ec3fe895a4ac20f115deb62561030451296555b30;Central;4;Mentor;US;OH;44060
f8a2dbe685af255ad391d6804c417b9cd26859e95fe282a8b69baffeb3043d5e;Western;1;Clackamas;US;OR;97015
168eb51cc94765889e4ad9a12ee16b8471fa17a34aba7aeea864203fbecf0145;Central;4;Newport;US;MI;O
a914fc4fc72788a3d1e75f4c726b68c5357e15f19d6615b3b13c62590722891c;Southern;2;San Antonio;US;TX;78216
6dcd5df2c6e5b4f37dde68561eff7e1cc27e4bd013a130c4bf5518d0280602c9;Southern;2;Houston;US;TX;77092
3823391f1d514a719df68bb5e77a2a73d2ef133d1d2ff56ebf36ce1b2fd55dd1;Canada;0;Winnepeg;CA;MB;R2X 2X9
7fb8f89f9c8ad43a60a32cd821fe711f9c0596e20122f742336d011e3e5a237c;Southern;2;Pearl;US;MS;39209
0ced93c86e30fd0b29e424ec5342d19cf0b7249a62cd901bb8b609219bae5be0;International;5;Sollinge Molle;UK;Não informado;0
564b540f0198330718f573c1fbafea53d0bc155882dbb8a878aa065d5e48d574;Western;1;Wheatridge;US;CO;80033
b6c5a42f3e9ee0bb64760c3c0a831b8bd7761d1af5dce94720f0dc54fe7a2490;Southern;2;Oklahoma City;US;OK;73128
f770dc76bbaf41dbc800dbc608ab833c5748444b14776dac54cdfb7ad625cdbc;International;5;Kilsyth;UK;Não informado;3136
a98f5f6c9a9f4ff622be4929baf12ec6294edefba4d27c64be7d932b81d7aa11;Southern;2;Tulsa;US;OK;74115
c3438a453085adb6e980503b752d586d8543fb24477ed8cb49980e3afac147a8;Southern;2;Saginaw;US;AL;35137
c665eba74382083063108717d3c4c9c7a1586e9897062886f60e61ec6773134b;Northeast;3;Stewartsville;US;NJ;8886
d087d193c1c3da3508f69d9fb4cc379017c138047c16ed76d3a0824ee02f0536;Southern;2;Cramerton;US;NC;28032
b5750d6ebc7ee9181cc65fe9a86ad0b619bffdee4a51b535f57a8e2004b9d9c5;Southern;2;Clemson;US;SC;29633
