PK_TEMPO;invoice_date;Ano;Mes;Dia
895ff38a4d2f1623cd6f112eb7a3de8059e51bb8183e15855057ea69480df187;26/09/2018;2018;09;26
399af5de10182e3410a3e247630d4530c64b6311dddfd915d0a25ac06a720350;04/02/2018;2018;02;04
360dc42cdb10744dd6869defe7a98706cc5db6070634435ed7a393f7831bd77c;13/08/2017;2017;08;13
a16a0bec075e1eee63cf183623a0024cbc7c2804575d56626a6dce93a636bd01;09/05/2018;2018;05;09
9df30047a5bc1002d6cd5e51e6b059d5dfb30f74bc8f94a8fe3c40721d474e9c;04/05/2017;2017;05;04
15406b325e01ec70fc59bfb1b07ff59f8493cb995f12b8120e7243e9681d50ea;23/09/2018;2018;09;23
2f0119d225e5f8ccb237f5259337adf83986e373f2b798e2dc1f6efd3549aac7;28/11/2018;2018;11;28
2dbede338717fba688f05a1ae8d885c491743022538a3bd79b1241589bf5a742;14/01/2019;2019;01;14
ef97d9507b6f0c9fc56ff892b81b86dcd070e35a2b49648beea720b04b375077;14/02/2018;2018;02;14
94fd847bf31e9fae76c4a714546c2ae8b7bd03ae773dab1f30e7aaf47711a67f;28/02/2018;2018;02;28
d4bc33f50d120607fe85cedf5d4a29b1a24fc93b762682d68f6bb46bed7f029f;30/12/2017;2017;12;30
1637ba47dfa7f771f603137b197c0b8568b86d9b82a6d187b6ea1671608c10b7;30/06/2017;2017;06;30
401a624d57fda48b89c3fe6d81e652befd0ee322db9e643ef2265f040c56a265;03/12/2018;2018;12;03
0ee64d76f4155f53fd2bf9f0a491a112706e3ead5d65f1b4acc90900f16dd39f;25/01/2018;2018;01;25
4bb2a2617c77b5ab56a5958bc7192646f608a5157ea2bc14bcec3211941fefba;25/03/2018;2018;03;25
6a25b4b07f63f3e0c99a9c5384b58f4bf5f995503ba07dab4911375c73309608;16/11/2017;2017;11;16
83e7e25e3658b8c51b5894c93eff9ebd5d8e07330f7e3646e0ded13eeab32c95;01/10/2017;2017;10;01
5092cabbc9b2542351002d9e5fd3aafb9124bbd73d7084f771a952916cff7b9b;07/11/2018;2018;11;07
7e992364678f88414575d6adc1a15d2b807018b9410cb79c47886da8ca75a6f8;27/05/2017;2017;05;27
4facb120070237143195b6387623cda64a5a9803f8bffb3cf3cf8f9f3d112f9d;28/08/2018;2018;08;28
316567a941f1bdcc37e21b61ba14bd18b187ec07a877ae16e79c1b26efc28b3c;15/02/2017;2017;02;15
08d373820ab0ae8f7f9b3854ee32d2c5f33a21feaa9aec2467d0ff86da32b072;19/08/2018;2018;08;19
a6fae5a76a9b42a8549fbf55023b71eb7bcc62fc317ed59f591c2a5382f2e078;26/03/2017;2017;03;26
6850cbd05e63f5a5722fc45a478a9297592be6d583b6e49a3f8c0604d58f3b51;21/02/2018;2018;02;21
6312721efb51dc49faf5b44202ce0cd593f857ff3a7341314148380859b3b69c;26/06/2018;2018;06;26
ccd1d5f45ca4e762c51e2f2bba97b1311fde984af13face826827788fdd85524;17/06/2018;2018;06;17
dbcdedc27e59f1eca86b627c1e2e580013946c5e936695e192eba7c040fb19b8;11/02/2019;2019;02;11
0be41179e7af281e647b68fb75738a0bbfcc97a2f839826521a551977c453f4d;28/01/2018;2018;01;28
53d847ebf9b394ac3ef96fed0338d71aa56dc0fbabf06d997c4322ac5c79abed;06/05/2018;2018;05;06
b59c07c654fb333e8486c044addb6b312a05606cdcf3581f396a624e7c2f3a88;04/11/2017;2017;11;04
298be29e3ee177ebed70aac6079a67a2a560327f935ac924cd5e641800cfbd58;02/05/2018;2018;05;02
ac523d86e7b71d490f2ba0a3b502c46b757c67dd5318d4614627ebcfdb7904b5;21/12/2017;2017;12;21
ce05cc59e7292eca111881c654c8f812ad253a1df9d4d193d835536d9c89309c;16/12/2017;2017;12;16
064a11e0aa8f7870f186edf0e0aed6466abca6ca475860569aaca277f5429a35;21/01/2019;2019;01;21
fded364407978491bcec6a6d175239d3333c02269834a3c0e8493db7a5f76e08;12/02/2018;2018;02;12
2258ed7a21990ec4272cd6337108d59c562e6302b0c2714e74a9cfccd8901390;06/01/2019;2019;01;06
5f398d0d6261933b80b7a7476f4f060e01be2af6bb1cc5697a4ecbbac663ec2f;08/10/2017;2017;10;08
98e73768525397849c9291b0a83dfd3ad65c21a90ff33f615885852908372752;20/01/2019;2019;01;20
409be5f75d05c9e32238bcd231d8fb929fcafac7cd8a4b9f0e01096bd2c79764;18/03/2017;2017;03;18
384cccdeba003dee39ea4f71eab60bc13729c4edaeb94aee5d56a56a80e0ad9c;12/09/2018;2018;09;12
5ba5d06b03e0100f0e33601eaf656d5846ce863c8055c93450ab9834a72135ba;11/10/2017;2017;10;11
e147c56aa13d65ba6619af6fe12b05c79d317efa9d1305da73cb160cec3f0c10;14/11/2018;2018;11;14
4ba8f27916cb8c10641461912852683218a83a0682a86c1689355cae2d4ef0b6;15/06/2017;2017;06;15
1868bac233516e0f8e05c18b222428fac0ca3a9e169a86f1c1ae7a888558ac53;11/02/2017;2017;02;11
35dbff7374ff7c75d68b57053dffa9cfb955231596cd7791b4b5bbed8a9b9d39;12/11/2018;2018;11;12
d2d6990306963cb074933dced43b2e0565e34b469752dac9c1b8713c1d72fe4e;08/09/2018;2018;09;08
274efa67e274a6a7abe012e179112b2a3f26dddf43613c32eb454ffc9f37e090;14/09/2017;2017;09;14
dab8ae8b08186a9b6c9486e44ca3449599033e90aaddefc571a65cf911bb0813;07/02/2019;2019;02;07
dc663941b2f34d83910655cb910904280f46373cae15cb712e3b4ceba0d0c5e0;06/09/2017;2017;09;06
3a5011a822e50c837371155484afbe20e6baad64cdcead52d5969f4183575c5b;01/02/2018;2018;02;01
2099245217079771abe9d8705c8b0ac6c7a7c2b358cc32622ffb799ef6cfea2b;11/07/2018;2018;07;11
03f11091230edbd759b74c5307fd5fcd4454f23ee8d2b512641020699641c18f;08/01/2018;2018;01;08
0149f61259e9e1c197e4ca77ebfeab36c33b53581896f5a0014906730d8686e4;09/04/2018;2018;04;09
c45cc36a6f4b1219c00c433a63b46f09b291362ac212446f220ace45409b3406;21/10/2018;2018;10;21
70a7512c941d5cea55767e438e136a0e3977db617b7678dbb7a581d48150f4eb;13/03/2019;2019;03;13
596098955dce1de24aa5e220e8697a2c98ec225c6bc58e2ce2f25bd8d34206ff;29/12/2018;2018;12;29
f7f8a8e9ec1e9c28d42cfd9e2d50e0af4634569fcee84a6845cdbef2cad0883e;22/12/2017;2017;12;22
3c80323dc4aa6a94e0299c714c17ea580666bb4c6e9ee34f3b38f43da48a9ef9;06/03/2019;2019;03;06
119e2a4a070318562ae951bfc2014acd413566f6795877e91f078414a7e383b2;10/03/2017;2017;03;10
f3842aca9e599465a38ad90b7bdce2a8aceeafd87f38e78d7a3dc3bfc2922cd4;30/04/2017;2017;04;30
17cebde955f1db00b2383f836d74c6cb91b80af342c864c0f38fdea1f466c7d3;16/06/2017;2017;06;16
c3c2beeafa2030507a995bdfc49e8b3582135079af4ff36a18d5872baa5c58b9;20/09/2017;2017;09;20
48ddb570891c78e26687504129072f6f60ad0f94647e2a18a4288481131196ef;18/01/2017;2017;01;18
eb9fb53d0f96cfde5563111cda96042e4723f668c45a4cc2f085d0459cff888d;23/07/2017;2017;07;23
c99ccf94d8f259e8311a4f883af7f8c1e2894f7ab91583630cb12c4be20f9703;02/03/2017;2017;03;02
25e32c07742341923d26a4dc9e9390fe373676a70019e542b2d32a609fb415d3;29/12/2017;2017;12;29
53f4e55a568b337e51d6002b5b4304709091a0f26ea9401ec81a6d2ec216b85e;03/06/2017;2017;06;03
00d972607b99b7a2e40f993e2def366dd5d465bd39fc2fa43835c15d3aae4ca6;17/08/2017;2017;08;17
6fb5ba14c496398fba5a61adc2ec31c9d523a0429272979b1e8cbbbb7c662c40;28/06/2017;2017;06;28
06b2ca235739e39029ac0233ca6fafa9c30aa4d53d83a1d9f99d22734309a052;23/09/2017;2017;09;23
5a328d5b4bf36fca8b58e6f3974bf61ba0b60b963a9f6f3ebe199338e7e011f9;23/10/2018;2018;10;23
f839fe73ff5b4c86902bf5189fb00700b11d3c1a4b4e22c30a9d0f1a48db9020;22/01/2019;2019;01;22
4d1489bd743e6bfd63080a12b674916c6e17a8eb2381f0de96fbc0730fea9906;15/12/2017;2017;12;15
f5869ee34eac490539eff6ab27e5b85077afa92d2351f83118e9240ba61ae866;06/01/2018;2018;01;06
5a8d8db6a4e3f8ab7b36e2ccb28b10a9ca5a5b6db215522accb562779c7f3fcb;29/03/2017;2017;03;29
91bddc2853ebeb177df70d7c4a883ca290851275c79d13c92d5ff040f19472ca;17/03/2018;2018;03;17
